GK_ID,Player,Team,Season,Minutes,Shots Faced,Goals Conceded,Saves
1,Đorđe Petrović,NER,2022,2065,111,26,84
2,Andre Blake,PHI,2022,3394,130,26,100
3,Aljaz Ivacic,POR,2022,3208,163,48,112
4,Brad Stuver,ATX,2022,3004,140,41,98
5,Eloy Room,CLB,2022,3398,146,39,103
6,Maarten Paes,FCD,2022,3189,130,34,91
7,Dayne St. Clair,MIN,2022,3094,155,44,109
8,Stefan Frei,SEA,2022,2679,123,38,85
9,Stefan Cleveland,SEA,2022,679,37,8,28
10,Drake Callender,MIA,2022,2392,116,36,78
11,Steve Clark,HOU,2022,3237,153,46,104
12,Chris Brady,CHI,2022,95,5,1,4
13,James Pantemis,MTL,2022,1104,38,11,26
14,Isaac Boehmer,VAN,2022,245,12,4,8
15,Max Anchor,VAN,2022,101,6,2,4
16,Alex Bono,TOR,2022,2449,126,41,84
17,Matt Bersano,SJE,2022,151,10,3,6
18,John McCarthy,LAFC,2022,101,6,2,4
19,Mason Stajduhar,ORL,2022,195,14,5,9
20,Spencer Richey,CHI,2022,103,4,2,2
21,Gabriel Slonina,CHI,2022,3181,126,44,80
22,David Bingham,POR,2022,197,13,3,10
23,Brad Knighton,NER,2022,398,20,7,13
24,Elliot Panicco,NSH,2022,194,10,3,7
25,Tyler Miller,MIN,2022,245,11,3,8
26,Jimmy Maurer,FCD,2022,203,8,3,5
27,Raúl Gudiño,ATL,2022,555,17,7,7
28,Kendall McIntosh,SKC,2022,190,10,2,8
29,Abraham Rodriguez,COL,2022,51,5,3,2
30,Earl Edwards Jr.,NER,2022,399,17,8,9
31,Pablo Sisniega,CLT,2022,196,9,2,7
32,Ryan Meara,NYRB,2022,102,5,2,2
33,George Marks,CLT,2022,102,3,2,1
34,Michael Nelson,HOU,2022,169,13,8,5
35,Clément Diop,MIA,2022,298,11,7,4
36,Brad Guzan,ATL,2022,667,24,9,14
37,Jon Kempin,DCU,2022,199,11,5,6
38,Sean Johnson,NYC,2022,3441,120,39,80
39,Matt Turner,NER,2022,484,15,7,8
40,Joe Willis,NSH,2022,3178,138,38,98
41,Bobby Shuttleworth,ATL,2022,621,21,11,10
42,Bill Hamid,DCU,2022,974,52,15,34
43,Alec Kann,CIN,2022,695,35,13,21
44,Zac MacMath,RSL,2022,3361,150,45,102
45,David Ochoa,DCU,2022,875,49,16,32
46,Andrew Tarbell,ATX,2022,397,22,7,15
47,Roman Celentano,CIN,2022,2674,128,42,85
48,John Pulskamp,SKC,2022,1139,50,17,32
49,Thomas Hasal,VAN,2022,1655,78,27,49
50,Nick Marsman,MIA,2022,692,31,12,19
51,Carlos Coronel,NYRB,2022,3302,118,39,73
52,Maxime Crépeau,LAFC,2022,3297,113,34,76
53,Pedro Gallese,ORL,2022,3200,127,47,79
54,Quentin Westberg,TOR,2022,979,59,23,36
55,Rocco Rios Novo,ATL,2022,1532,68,27,40
56,Cody Cropper,VAN,2022,1360,55,24,28
57,Tim Melia,SKC,2022,2033,80,34,45
58,Kristijan Kahlina,CLT,2022,3081,147,47,97
59,Rafael Romo,DCU,2022,1341,82,32,49
60,Jonathan Bond,LAG,2022,3396,146,51,90
61,Sebastian Breza,MTL,2022,2295,88,37,49
62,William Yarbrough,COL,2022,3336,159,54,99
63,JT Marcinkowski,SJE,2022,3181,182,66,111