"","Team","Season","Games","ShtF","ShtA","GF","GA","GD","xGF","xGA","xGD","GD-xGD","Pts","xPts"
"","NER","2021","34","495","482","62","40","22","55.25","45.01","10.24","11.76","73","53.52"
"","CIN","2023","33","431","382","54","35","19","53.87","36.86","17.01","1.99","68","58.00"
"","PHI","2022","34","450","434","70","26","44","60.19","38.74","21.45","22.55","67","58.36"
"","LAFC","2022","34","532","376","65","36","29","61.93","36.41","25.52","3.48","67","64.14"
"","MTL","2022","34","425","317","61","48","13","51.05","35.45","15.60","-2.60","65","56.45"
"","COL","2021","34","458","417","50","34","16","44.17","39.77","4.41","11.59","61","49.58"
"","SEA","2021","34","427","385","53","32","21","46.84","35.03","11.81","9.19","60","54.96"
"","ORL","2023","33","397","401","52","38","14","41.17","40.19","0.99","13.01","60","46.82"
"","SKC","2021","34","469","398","58","40","18","51.18","43.63","7.55","10.45","58","50.82"
"","STL","2023","33","444","429","59","42","17","43.04","45.36","-2.32","19.32","56","43.60"
"","ATX","2022","34","424","442","64","48","16","47.34","53.40","-6.06","22.06","56","42.47"
"","PHI","2023","33","444","376","53","36","17","48.35","43.47","4.88","12.12","55","47.91"
"","NYC","2022","34","482","360","56","39","17","57.84","39.10","18.74","-1.74","55","56.62"
"","POR","2021","34","442","520","54","51","3","48.19","57.79","-9.60","12.60","55","39.42"
"","NSH","2021","34","454","382","54","31","23","46.29","35.43","10.86","12.14","54","53.78"
"","CLB","2023","33","482","355","61","44","17","53.87","39.74","14.12","2.88","54","55.17"
"","PHI","2021","34","433","391","45","32","13","43.81","39.53","4.29","8.71","54","49.40"
"","FCD","2022","34","402","427","46","37","9","40.72","44.44","-3.72","12.72","53","43.99"
"","NYRB","2022","34","451","303","48","41","7","47.71","38.10","9.61","-2.61","53","53.09"
"","NER","2023","33","401","506","53","44","9","41.62","46.71","-5.09","14.09","52","42.49"
"","NYC","2021","34","516","323","55","35","20","54.59","33.80","20.79","-0.79","51","60.21"
"","LAFC","2023","33","514","342","52","37","15","52.62","35.54","17.08","-2.08","51","56.43"
"","ATL","2021","34","455","447","42","37","5","43.72","44.89","-1.17","6.17","51","45.64"
"","ORL","2021","34","407","425","49","45","4","43.34","42.40","0.93","3.07","51","47.84"
"","ATL","2023","33","427","409","62","50","12","45.72","44.77","0.95","11.05","50","44.33"
"","NSH","2022","34","446","438","52","41","11","52.60","41.32","11.27","-0.27","50","55.45"
"","SEA","2023","33","414","347","37","30","7","44.54","32.10","12.43","-5.43","50","54.30"
"","LAG","2022","34","475","393","57","51","6","53.36","46.25","7.12","-1.12","50","51.57"
"","NSH","2023","33","374","416","38","30","8","40.33","35.09","5.24","2.76","49","47.31"
"","CIN","2022","34","438","458","60","55","5","57.42","47.87","9.55","-4.55","49","52.10"
"","VAN","2021","34","349","494","43","43","0","38.49","50.62","-12.13","12.13","49","39.82"
"","MIN","2021","34","509","409","41","42","-1","49.68","40.62","9.07","-10.07","49","54.30"
"","HOU","2023","33","378","376","48","36","12","42.59","41.52","1.07","10.93","48","46.01"
"","NYRB","2021","34","495","315","39","33","6","46.62","36.26","10.37","-4.37","48","54.51"
"","RSL","2021","34","455","494","54","51","3","44.81","49.75","-4.93","7.93","48","44.37"
"","MIN","2022","34","421","473","46","47","-1","44.46","47.39","-2.93","1.93","48","46.30"
"","LAG","2021","34","433","487","47","52","-5","48.43","47.99","0.44","-5.44","48","45.98"
"","MIA","2022","34","379","470","46","55","-9","43.17","47.99","-4.82","-4.18","48","42.15"
"","ORL","2022","34","408","410","42","52","-10","39.11","46.10","-6.99","-3.01","48","41.43"
"","DCU","2021","34","451","387","55","49","6","51.53","37.54","14.00","-8.00","47","56.47"
"","VAN","2023","33","441","392","50","46","4","53.70","41.02","12.69","-8.69","47","52.68"
"","RSL","2022","34","436","410","43","45","-2","43.49","44.85","-1.36","-0.64","47","47.20"
"","RSL","2023","33","488","402","47","49","-2","41.43","45.82","-4.39","2.39","47","42.71"
"","CLB","2021","34","397","473","41","45","-4","40.02","45.26","-5.24","1.24","47","41.97"
"","CLB","2022","34","447","388","46","39","7","38.53","41.61","-3.07","10.07","46","45.27"
"","MTL","2021","34","396","412","45","42","3","45.29","39.05","6.24","-3.24","46","51.75"
"","POR","2022","34","440","504","52","51","1","49.78","53.47","-3.68","4.68","46","44.01"
"","LAFC","2021","34","521","356","51","51","0","57.99","36.58","21.41","-21.41","45","59.96"
"","FCD","2023","33","326","427","37","32","5","37.13","37.81","-0.67","5.67","43","44.38"
"","SJE","2023","33","392","467","37","42","-5","38.54","48.22","-9.69","4.69","43","38.32"
"","POR","2023","33","396","399","44","52","-8","40.48","43.69","-3.21","-4.79","43","43.87"
"","COL","2022","34","448","452","46","57","-11","50.16","50.69","-0.53","-10.47","43","48.33"
"","VAN","2022","34","387","476","40","57","-17","38.53","47.98","-9.45","-7.55","43","40.01"
"","NER","2022","34","437","481","47","48","-1","43.23","53.90","-10.67","9.67","42","40.96"
"","CLT","2022","34","384","445","42","51","-9","40.99","43.31","-2.32","-6.68","42","44.97"
"","SEA","2022","34","420","447","44","46","-2","44.44","50.78","-6.34","4.34","41","42.66"
"","MIN","2023","33","458","483","42","47","-5","53.68","45.90","7.78","-12.78","41","51.75"
"","SKC","2023","33","433","378","44","50","-6","39.13","44.23","-5.10","-0.90","41","41.15"
"","SJE","2021","34","454","516","42","51","-9","46.58","59.93","-13.34","4.34","41","38.92"
"","MTL","2023","33","373","414","32","47","-15","37.75","44.44","-6.70","-8.30","41","41.46"
"","MIA","2021","34","326","435","35","51","-16","33.21","48.10","-14.88","-1.12","41","37.38"
"","NYRB","2023","33","457","235","34","37","-3","46.28","32.73","13.55","-16.55","40","54.85"
"","DCU","2023","34","458","407","44","48","-4","47.85","41.86","5.99","-9.99","40","49.22"
"","ATL","2022","34","540","427","48","54","-6","54.02","49.41","4.61","-10.61","40","51.04"
"","CLT","2023","33","335","404","42","50","-8","35.32","48.25","-12.93","4.93","40","35.30"
"","CHI","2023","33","336","459","36","48","-12","36.24","50.22","-13.98","1.98","40","36.14"
"","SKC","2022","34","415","389","40","53","-13","39.25","43.44","-4.19","-8.81","40","42.92"
"","CHI","2022","34","429","409","39","47","-8","44.34","46.71","-2.37","-5.63","39","45.76"
"","NYC","2023","33","405","359","33","38","-5","39.03","34.33","4.70","-9.70","38","47.57"
"","ATX","2023","33","395","481","47","53","-6","40.86","48.53","-7.67","1.67","38","39.93"
"","HOU","2022","34","390","501","43","54","-11","42.48","54.00","-11.53","0.53","36","38.79"
"","LAG","2023","33","480","467","49","61","-12","50.41","49.57","0.84","-12.84","36","46.11"
"","SJE","2022","34","455","481","52","69","-17","44.16","58.12","-13.95","-3.05","35","38.66"
"","MIA","2023","33","355","452","41","50","-9","36.70","51.87","-15.17","6.17","34","35.25"
"","TOR","2022","34","372","492","48","64","-16","43.03","56.32","-13.29","-2.71","34","39.14"
"","CHI","2021","34","473","488","34","51","-17","39.55","50.64","-11.09","-5.91","34","39.33"
"","FCD","2021","34","446","490","46","55","-9","44.32","50.16","-5.85","-3.15","33","42.56"
"","ATX","2021","34","450","515","34","55","-21","41.25","53.49","-12.23","-8.77","31","40.60"
"","HOU","2021","34","426","448","34","51","-17","39.66","46.71","-7.05","-9.95","30","40.99"
"","TOR","2021","34","350","471","37","64","-27","39.02","54.35","-15.33","-11.67","28","35.74"
"","COL","2023","33","347","470","26","53","-27","34.33","44.63","-10.30","-16.70","27","40.07"
"","DCU","2022","34","357","487","36","68","-32","37.33","53.50","-16.17","-15.83","27","36.84"
"","TOR","2023","33","336","482","26","55","-29","31.38","53.48","-22.10","-6.90","22","32.21"
"","CIN","2021","34","405","532","36","73","-37","37.74","57.29","-19.55","-17.45","20","33.89"