,Season,Player,Team,Minutes,Shots Faced,Goals Conceded,Saves,Player_ID,Count
0,2022,Đorđe-Petrović,NER,2065,111,26,84,Đorđe-Petrović-2022-1,1
1,2022,Andre-Blake,PHI,3394,130,26,100,Andre-Blake-2022-1,1
2,2023,Roman-Bürki,STL,3195,160,39,120,Roman-Bürki-2023-1,1
3,2021,Andre-Blake,PHI,2585,98,22,76,Andre-Blake-2021-1,1
4,2023,Daniel,SJE,2068,113,27,84,Daniel-2023-1,1
5,2021,Matt-Turner,NER,2752,138,34,101,Matt-Turner-2021-1,1
6,2022,Aljaz-Ivacic,POR,3208,163,48,112,Aljaz-Ivacic-2022-1,1
7,2021,JT-Marcinkowski,SJE,3292,186,50,129,JT-Marcinkowski-2021-1,1
8,2021,Maxime-Crépeau,VAN,2684,126,29,97,Maxime-Crépeau-2021-1,1
9,2023,Đorđe-Petrović,NER,2186,126,26,98,Đorđe-Petrović-2023-1,1
10,2023,Andre-Blake,PHI,2566,96,24,70,Andre-Blake-2023-1,1
11,2022,Brad-Stuver,ATX,3004,140,41,98,Brad-Stuver-2022-1,1
12,2023,Brad-Stuver,ATX,3318,178,53,124,Brad-Stuver-2023-1,1
13,2022,Eloy-Room,CLB,3398,146,39,103,Eloy-Room-2022-1,1
14,2022,Maarten-Paes,FCD,3189,130,34,91,Maarten-Paes-2022-1,1
15,2021,Brad-Guzan,ATL,2860,127,29,98,Brad-Guzan-2021-1,1
16,2021,Carlos-Coronel,NYRB,3398,121,33,87,Carlos-Coronel-2021-1,1
17,2021,Steve-Clark,POR,2319,124,30,88,Steve-Clark-2021-1,1
18,2023,Roman-Celentano,CIN,3229,117,33,83,Roman-Celentano-2023-1,1
19,2022,Dayne-St.-Clair,MIN,3094,155,44,109,Dayne-St.-Clair-2022-1,1
20,2023,JT-Marcinkowski,SJE,1252,54,15,38,JT-Marcinkowski-2023-1,1
21,2022,Stefan-Frei,SEA,2679,123,38,85,Stefan-Frei-2022-1,1
22,2021,Alec-Kann,ATL,495,31,8,23,Alec-Kann-2021-1,1
23,2021,Logan-Ketterer,POR,297,12,3,9,Logan-Ketterer-2021-1,1
24,2023,Stefan-Frei,SEA,3087,100,26,72,Stefan-Frei-2023-1,1
25,2023,Alex-Bono,DCU,964,39,11,28,Alex-Bono-2023-1,1
26,2023,Tim-Melia,SKC,1479,66,23,42,Tim-Melia-2023-1,1
27,2022,Stefan-Cleveland,SEA,679,37,8,28,Stefan-Cleveland-2022-1,1
28,2022,Drake-Callender,MIA,2392,116,36,78,Drake-Callender-2022-1,1
29,2021,Clément-Diop,MTL,799,32,9,23,Clément-Diop-2021-1,1
30,2022,Steve-Clark,HOU,3237,153,46,104,Steve-Clark-2022-1,1
31,2023,Kristijan-Kahlina,CLT,2329,108,32,75,Kristijan-Kahlina-2023-1,1
32,2023,Maarten-Paes,FCD,2815,116,24,90,Maarten-Paes-2023-1,1
33,2023,Jacob-Jackson,NER,99,10,3,7,Jacob-Jackson-2023-1,1
34,2021,Gabriel-Slonina,CHI,1062,60,15,45,Gabriel-Slonina-2021-1,1
35,2022,Chris-Brady,CHI,95,5,1,4,Chris-Brady-2022-1,1
36,2022,James-Pantemis,MTL,1104,38,11,26,James-Pantemis-2022-1,1
37,2021,Pedro-Gallese,ORL,2200,99,29,67,Pedro-Gallese-2021-1,1
38,2022,Isaac-Boehmer,VAN,245,12,4,8,Isaac-Boehmer-2022-1,1
39,2023,Luka-Gavran,TOR,398,32,12,20,Luka-Gavran-2023-1,1
40,2021,Brad-Stuver,ATX,3277,191,52,136,Brad-Stuver-2021-1,1
41,2021,Joe-Bendik,PHI,238,8,3,5,Joe-Bendik-2021-1,1
42,2022,Max-Anchor,VAN,101,6,2,4,Max-Anchor-2022-1,1
43,2023,George-Marks,CLT,712,41,12,29,George-Marks-2023-1,1
44,2022,Alex-Bono,TOR,2449,126,41,84,Alex-Bono-2022-1,1
45,2022,Matt-Bersano,SJE,151,10,3,6,Matt-Bersano-2022-1,1
46,2021,Spencer-Richey,SEA,196,5,0,5,Spencer-Richey-2021-1,1
47,2021,William-Yarbrough,COL,3271,142,31,106,William-Yarbrough-2021-1,1
48,2022,John-McCarthy,LAFC,101,6,2,4,John-McCarthy-2022-1,1
49,2021,Stefan-Frei,SEA,1661,62,15,44,Stefan-Frei-2021-1,1
50,2022,Mason-Stajduhar,ORL,195,14,5,9,Mason-Stajduhar-2022-1,1
51,2021,Alex-Roldan,SEA,5,1,0,1,Alex-Roldan-2021-1,1
52,2023,Elliot-Panicco,NSH,198,9,1,8,Elliot-Panicco-2023-1,1
53,2022,Spencer-Richey,CHI,103,4,2,2,Spencer-Richey-2022-1,1
54,2023,Andrew-Tarbell,HOU,100,4,0,4,Andrew-Tarbell-2023-1,1
55,2021,Jeff-Attinella,POR,185,5,1,4,Jeff-Attinella-2021-1,1
56,2023,Thomas-Hasal,VAN,101,7,2,5,Thomas-Hasal-2023-1,1
57,2021,Tim-Melia,SKC,2777,100,33,67,Tim-Melia-2021-1,1
58,2023,Matt-Freese,NYC,906,33,8,25,Matt-Freese-2023-1,1
59,2023,Justin-Rasmussen,POR,1,0,0,0,Justin-Rasmussen-2023-1,1
60,2022,Gabriel-Slonina,CHI,3181,126,44,80,Gabriel-Slonina-2022-1,1
61,2021,Aljaz-Ivacic,POR,464,32,12,20,Aljaz-Ivacic-2021-1,1
62,2023,Tomás-Romero,TOR,601,35,12,23,Tomás-Romero-2023-1,1
63,2023,Patrick-Schulte,CLB,3035,133,41,89,Patrick-Schulte-2023-1,1
64,2023,Zac-MacMath,RSL,2646,116,35,78,Zac-MacMath-2023-1,1
65,2022,David-Bingham,POR,197,13,3,10,David-Bingham-2022-1,1
66,2023,Stefan-Cleveland,SEA,203,8,4,4,Stefan-Cleveland-2023-1,1
67,2022,Brad-Knighton,NER,398,20,7,13,Brad-Knighton-2022-1,1
68,2023,Maxime-Crépeau,LAFC,600,15,5,10,Maxime-Crépeau-2023-1,1
69,2023,Chris-Brady,CHI,2836,134,41,89,Chris-Brady-2023-1,1
70,2021,Sean-Johnson,NYC,2861,115,30,84,Sean-Johnson-2021-1,1
71,2021,Joe-Willis,NSH,3336,132,31,100,Joe-Willis-2021-1,1
72,2021,Tyler-Miller,MIN,2958,134,32,101,Tyler-Miller-2021-1,1
73,2022,Elliot-Panicco,NSH,194,10,3,7,Elliot-Panicco-2022-1,1
74,2021,Luis-Barraza,NYC,505,12,5,7,Luis-Barraza-2021-1,1
75,2021,Daniel-Vega,SJE,99,1,1,0,Daniel-Vega-2021-1,1
76,2022,Tyler-Miller,MIN,245,11,3,8,Tyler-Miller-2022-1,1
77,2022,Jimmy-Maurer,FCD,203,8,3,5,Jimmy-Maurer-2022-1,1
78,2021,Jamal-Blackman,LAFC,812,35,13,21,Jamal-Blackman-2021-1,1
79,2021,Marko-Maric,HOU,2188,104,32,68,Marko-Maric-2021-1,1
80,2021,Stefan-Cleveland,SEA,1494,47,17,29,Stefan-Cleveland-2021-1,1
81,2023,Clément-Diop,ATL,157,7,4,3,Clément-Diop-2023-1,1
82,2023,Eloy-Room,CLB,304,10,3,7,Eloy-Room-2023-1,1
83,2021,Nick-Marsman,MIA,2111,101,31,68,Nick-Marsman-2021-1,1
84,2023,Eldin-Jakupovic,LAFC,201,7,1,6,Eldin-Jakupovic-2023-1,1
85,2021,Jonathan-Klinsmann,LAG,293,11,4,7,Jonathan-Klinsmann-2021-1,1
86,2022,Raúl-Gudiño,ATL,555,17,7,7,Raúl-Gudiño-2022-1,1
87,2023,Joe-Willis,NSH,3104,125,29,94,Joe-Willis-2023-1,1
88,2022,Kendall-McIntosh,SKC,190,10,2,8,Kendall-McIntosh-2022-1,1
89,2023,Novak-Micovic,LAG,98,6,2,4,Novak-Micovic-2023-1,1
90,2022,Abraham-Rodriguez,COL,51,5,3,2,Abraham-Rodriguez-2022-1,1
91,2021,Eloy-Room,CLB,2983,125,39,83,Eloy-Room-2021-1,1
92,2023,John-Pulskamp,SKC,495,20,7,13,John-Pulskamp-2023-1,1
93,2022,Earl-Edwards-Jr.,NER,399,17,8,9,Earl-Edwards-Jr.-2022-1,1
94,2022,Pablo-Sisniega,CLT,196,9,2,7,Pablo-Sisniega-2022-1,1
95,2021,Brad-Knighton,NER,589,28,6,22,Brad-Knighton-2021-1,1
96,2021,Kyle-Morton,HOU,94,6,2,4,Kyle-Morton-2021-1,1
97,2023,William-Yarbrough,COL,1997,91,25,65,William-Yarbrough-2023-1,1
98,2022,Ryan-Meara,NYRB,102,5,2,2,Ryan-Meara-2022-1,1
99,2023,Pedro-Gallese,ORL,3031,112,32,78,Pedro-Gallese-2023-1,1
100,2023,Clint-Irwin,MIN,405,22,8,14,Clint-Irwin-2023-1,1
101,2021,Zac-MacMath,RSL,646,20,6,14,Zac-MacMath-2021-1,1
102,2021,Mason-Stajduhar,ORL,500,16,5,10,Mason-Stajduhar-2021-1,1
103,2022,George-Marks,CLT,102,3,2,1,George-Marks-2022-1,1
104,2023,Pablo-Sisniega,CLT,299,15,6,9,Pablo-Sisniega-2023-1,1
105,2021,Phelipe,FCD,1035,57,19,36,Phelipe-2021-1,1
106,2023,Earl-Edwards-Jr.,NER,983,46,15,30,Earl-Edwards-Jr.-2023-1,1
107,2023,Alec-Kann,CIN,104,5,2,3,Alec-Kann-2023-1,1
108,2022,Michael-Nelson,HOU,169,13,8,5,Michael-Nelson-2022-1,1
109,2023,Quentin-Westberg,ATL,550,19,9,10,Quentin-Westberg-2023-1,1
110,2021,Andrew-Tarbell,ATX,97,5,3,2,Andrew-Tarbell-2021-1,1
111,2021,Bobby-Shuttleworth,CHI,2283,110,36,73,Bobby-Shuttleworth-2021-1,1
112,2023,James-Pantemis,MTL,182,14,5,7,James-Pantemis-2023-1,1
113,2022,Clément-Diop,MIA,298,11,7,4,Clément-Diop-2022-1,1
114,2022,Brad-Guzan,ATL,667,24,9,14,Brad-Guzan-2022-1,1
115,2023,Steve-Clark,HOU,3235,117,36,79,Steve-Clark-2023-1,1
116,2022,Jon-Kempin,DCU,199,11,5,6,Jon-Kempin-2022-1,1
117,2022,Sean-Johnson,NYC,3441,120,39,80,Sean-Johnson-2022-1,1
118,2021,David-Ochoa,RSL,2458,122,38,82,David-Ochoa-2021-1,1
119,2022,Matt-Turner,NER,484,15,7,8,Matt-Turner-2022-1,1
120,2023,Ben-Lundt,STL,106,7,3,4,Ben-Lundt-2023-1,1
121,2021,Clint-Irwin,COL,98,6,3,3,Clint-Irwin-2021-1,1
122,2021,Sebastian-Breza,MTL,793,29,8,21,Sebastian-Breza-2021-1,1
123,2022,Joe-Willis,NSH,3178,138,38,98,Joe-Willis-2022-1,1
124,2021,Adam-Grinwis,ORL,196,7,3,4,Adam-Grinwis-2021-1,1
125,2023,John-McCarthy,LAFC,2518,99,31,67,John-McCarthy-2023-1,1
126,2021,Andrew-Putna,RSL,243,12,7,5,Andrew-Putna-2021-1,1
127,2021,Cody-Cropper,CIN,96,10,4,6,Cody-Cropper-2021-1,1
128,2021,Pablo-Sisniega,LAFC,783,24,10,14,Pablo-Sisniega-2021-1,1
129,2022,Bobby-Shuttleworth,ATL,621,21,11,10,Bobby-Shuttleworth-2022-1,1
130,2022,Bill-Hamid,DCU,974,52,15,34,Bill-Hamid-2022-1,1
131,2023,Sean-Johnson,TOR,1865,74,21,51,Sean-Johnson-2023-1,1
132,2021,Thomas-Hasal,VAN,679,35,14,20,Thomas-Hasal-2021-1,1
133,2023,Mason-Stajduhar,ORL,295,15,6,9,Mason-Stajduhar-2023-1,1
134,2021,Hunter-Sulte,POR,127,8,5,3,Hunter-Sulte-2021-1,1
135,2023,Spencer-Richey,CHI,485,17,7,10,Spencer-Richey-2023-1,1
136,2021,Dayne-St.-Clair,MIN,395,21,10,11,Dayne-St.-Clair-2021-1,1
137,2021,Jonathan-Bond,LAG,3069,171,48,121,Jonathan-Bond-2021-1,1
138,2021,John-Pulskamp,SKC,584,20,7,13,John-Pulskamp-2021-1,1
139,2023,Carlos-Coronel,NYRB,3336,89,37,51,Carlos-Coronel-2023-1,1
140,2022,Alec-Kann,CIN,695,35,13,21,Alec-Kann-2022-1,1
141,2023,Yohei-Takaoka,VAN,3207,135,44,89,Yohei-Takaoka-2023-1,1
142,2021,Matt-Freese,PHI,560,22,7,15,Matt-Freese-2021-1,1
143,2022,Zac-MacMath,RSL,3361,150,45,102,Zac-MacMath-2022-1,1
144,2022,David-Ochoa,DCU,875,49,16,32,David-Ochoa-2022-1,1
145,2021,Chris-Seitz,DCU,389,18,6,11,Chris-Seitz-2021-1,1
146,2021,Brandon-Austin,ORL,501,16,8,8,Brandon-Austin-2021-1,1
147,2022,Andrew-Tarbell,ATX,397,22,7,15,Andrew-Tarbell-2022-1,1
148,2023,Drake-Callender,MIA,3328,173,50,121,Drake-Callender-2023-1,1
149,2023,Jimmy-Maurer,FCD,483,21,8,13,Jimmy-Maurer-2023-1,1
150,2021,Evan-Bush,CLB,396,13,6,7,Evan-Bush-2021-1,1
151,2021,Jimmy-Maurer,FCD,2331,114,36,76,Jimmy-Maurer-2021-1,1
152,2022,Roman-Celentano,CIN,2674,128,42,85,Roman-Celentano-2022-1,1
153,2021,Quentin-Westberg,TOR,967,58,22,35,Quentin-Westberg-2021-1,1
154,2023,Aljaz-Ivacic,POR,1488,83,26,55,Aljaz-Ivacic-2023-1,1
155,2023,Jonathan-Sirois,MTL,3084,138,42,94,Jonathan-Sirois-2023-1,1
156,2023,Jonathan-Klinsmann,LAG,938,37,15,22,Jonathan-Klinsmann-2023-1,1
157,2023,Greg-Ranjitsingh,TOR,389,25,10,14,Greg-Ranjitsingh-2023-1,1
158,2022,John-Pulskamp,SKC,1139,50,17,32,John-Pulskamp-2022-1,1
159,2022,Thomas-Hasal,VAN,1655,78,27,49,Thomas-Hasal-2022-1,1
160,2023,Gavin-Beavers,RSL,639,28,14,13,Gavin-Beavers-2023-1,1
161,2022,Nick-Marsman,MIA,692,31,12,19,Nick-Marsman-2022-1,1
162,2022,Carlos-Coronel,NYRB,3302,118,39,73,Carlos-Coronel-2022-1,1
163,2022,Maxime-Crépeau,LAFC,3297,113,34,76,Maxime-Crépeau-2022-1,1
164,2023,David-Bingham,POR,1814,72,26,45,David-Bingham-2023-1,1
165,2023,Dayne-St.-Clair,MIN,2859,132,39,91,Dayne-St.-Clair-2023-1,1
166,2023,Luis-Barraza,NYC,2425,92,30,62,Luis-Barraza-2023-1,1
167,2023,Kendall-McIntosh,SKC,1333,58,20,38,Kendall-McIntosh-2023-1,1
168,2021,John-McCarthy,MIA,1253,58,20,35,John-McCarthy-2021-1,1
169,2022,Pedro-Gallese,ORL,3200,127,47,79,Pedro-Gallese-2022-1,1
170,2021,Jon-Kempin,DCU,978,37,16,18,Jon-Kempin-2021-1,1
171,2023,Joe-Bendik,PHI,792,31,12,15,Joe-Bendik-2023-1,1
172,2022,Quentin-Westberg,TOR,979,59,23,36,Quentin-Westberg-2022-1,1
173,2021,Alex-Bono,TOR,2374,126,42,82,Alex-Bono-2021-1,1
174,2021,Kenneth-Vermeer,CIN,1849,94,34,57,Kenneth-Vermeer-2021-1,1
175,2021,Michael-Nelson,HOU,1086,48,17,31,Michael-Nelson-2021-1,1
176,2022,Rocco-Rios-Novo,ATL,1532,68,27,40,Rocco-Rios-Novo-2022-1,1
177,2021,Bill-Hamid,DCU,1987,87,27,60,Bill-Hamid-2021-1,1
178,2023,Brad-Guzan,ATL,2620,98,37,60,Brad-Guzan-2023-1,1
179,2022,Cody-Cropper,VAN,1360,55,24,28,Cody-Cropper-2022-1,1
180,2021,James-Pantemis,MTL,1783,83,25,56,James-Pantemis-2021-1,1
181,2021,Tomás-Romero,LAFC,1799,62,28,33,Tomás-Romero-2021-1,1
182,2022,Tim-Melia,SKC,2033,80,34,45,Tim-Melia-2022-1,1
183,2022,Kristijan-Kahlina,CLT,3081,147,47,97,Kristijan-Kahlina-2022-1,1
184,2023,Tyler-Miller,DCU,2481,101,37,63,Tyler-Miller-2023-1,1
185,2023,Marko-Ilic,COL,1276,70,28,41,Marko-Ilic-2023-1,1
186,2021,Przemyslaw-Tyton,CIN,1419,89,35,53,Przemyslaw-Tyton-2021-1,1
187,2023,Jonathan-Bond,LAG,2275,123,44,78,Jonathan-Bond-2023-1,1
188,2022,Rafael-Romo,DCU,1341,82,32,49,Rafael-Romo-2022-1,1
189,2022,Jonathan-Bond,LAG,3396,146,51,90,Jonathan-Bond-2022-1,1
190,2022,Sebastian-Breza,MTL,2295,88,37,49,Sebastian-Breza-2022-1,1
191,2022,William-Yarbrough,COL,3336,159,54,99,William-Yarbrough-2022-1,1
192,2022,JT-Marcinkowski,SJE,3181,182,66,111,JT-Marcinkowski-2022-1,1
