Date,Home,HG,Away,AG
2022-10-09,ATX,1,COL,1
2022-10-09,HOU,1,LAG,3
2022-10-09,MIN,2,VAN,0
2022-10-09,SEA,2,SJE,2
2022-10-09,FCD,2,SKC,1
2022-10-09,RSL,3,POR,1
2022-10-09,LAFC,0,NSH,1
2022-10-09,ATL,1,NYC,2
2022-10-09,MIA,0,MTL,3
2022-10-09,NYRB,2,CLT,0
2022-10-09,PHI,4,TOR,0
2022-10-09,CHI,1,NER,1
2022-10-09,ORL,2,CLB,1
2022-10-09,DCU,2,CIN,5
2022-10-05,MIA,4,ORL,1
2022-10-05,CLT,2,CLB,2
2022-10-02,NSH,1,HOU,2
2022-10-02,SKC,1,SEA,0
2022-10-02,POR,1,LAFC,2
2022-10-02,NYC,2,ORL,1
2022-10-01,LAG,1,RSL,1
2022-10-01,VAN,2,ATX,0
2022-10-01,SJE,2,MIN,0
2022-10-01,CLB,2,NYRB,1
2022-10-01,MTL,0,DCU,0
2022-10-01,CIN,2,CHI,3
2022-10-01,CLT,4,PHI,0
2022-10-01,COL,1,FCD,0
2022-10-01,NER,2,ATL,1
2022-09-30,TOR,0,MIA,1
2022-09-27,SEA,1,CIN,1
2022-09-24,SJE,2,LAG,3
2022-09-18,LAFC,3,HOU,1
2022-09-18,DCU,2,MIA,3
2022-09-18,CLB,1,POR,1
2022-09-17,SJE,1,FCD,1
2022-09-17,LAG,4,COL,1
2022-09-17,VAN,2,SEA,1
2022-09-17,RSL,1,CIN,2
2022-09-17,ATX,1,NSH,1
2022-09-17,SKC,3,MIN,1
2022-09-17,CHI,2,CLT,3
2022-09-17,ORL,3,TOR,0
2022-09-17,NER,0,MTL,1
2022-09-17,ATL,0,PHI,0
2022-09-17,NYC,2,NYRB,0
2022-09-14,VAN,3,LAG,0
2022-09-14,COL,2,SJE,1
2022-09-14,ATX,3,RSL,0
2022-09-14,ORL,0,ATL,1
2022-09-13,HOU,3,NER,1
2022-09-13,SKC,3,DCU,0
2022-09-13,MIA,2,CLB,1
2022-09-13,MIN,1,LAFC,1
2022-09-13,MTL,3,CHI,2
2022-09-10,POR,1,MIN,0
2022-09-10,RSL,0,DCU,0
2022-09-10,COL,3,VAN,1
2022-09-10,FCD,2,LAFC,1
2022-09-10,HOU,0,SKC,0
2022-09-10,CHI,3,MIA,1
2022-09-10,SEA,2,ATX,0
2022-09-10,PHI,4,ORL,1
2022-09-10,ATL,4,TOR,2
2022-09-10,CIN,6,SJE,0
2022-09-10,NYRB,2,NER,1
2022-09-10,NSH,1,LAG,1
2022-09-10,CLT,1,NYC,0
2022-09-09,MTL,2,CLB,2
2022-09-07,NYC,1,CIN,0
2022-09-04,LAFC,2,RSL,0
2022-09-04,SJE,2,VAN,0
2022-09-04,SEA,2,HOU,1
2022-09-04,LAG,2,SKC,2
2022-09-04,NER,3,NYC,0
2022-09-04,DCU,0,COL,0
2022-09-04,TOR,3,MTL,4
2022-09-04,POR,2,ATL,1
2022-09-03,NSH,3,ATX,0
2022-09-03,CIN,2,CLT,0
2022-09-03,NYRB,0,PHI,2
2022-09-03,CLB,0,CHI,0
2022-09-03,MIN,0,FCD,2
2022-08-31,ATX,1,POR,2
2022-08-31,RSL,3,MIN,0
2022-08-31,ORL,3,SEA,2
2022-08-31,NSH,4,COL,1
2022-08-31,HOU,2,LAFC,1
2022-08-31,NYC,1,DCU,2
2022-08-31,NER,0,CHI,0
2022-08-31,CLB,1,MIA,0
2022-08-31,MTL,0,NYRB,1
2022-08-31,TOR,2,LAG,2
2022-08-31,PHI,4,ATL,1
2022-08-28,NER,1,LAG,2
2022-08-28,ORL,2,NYC,1
2022-08-28,ATL,3,DCU,2
2022-08-27,VAN,0,NSH,3
2022-08-27,FCD,1,RSL,1
2022-08-27,SKC,1,SJE,0
2022-08-27,CLT,0,TOR,2
2022-08-27,CHI,0,MTL,2
2022-08-27,PHI,6,COL,0
2022-08-27,CIN,2,CLB,2
2022-08-27,NYRB,3,MIA,1
2022-08-27,MIN,1,HOU,1
2022-08-26,POR,2,SEA,1
2022-08-26,ATX,4,LAFC,1
2022-08-21,NSH,4,FCD,0
2022-08-21,SKC,4,POR,1
2022-08-21,CLT,1,ORL,2
2022-08-21,CLB,2,ATL,2
2022-08-21,CHI,0,NYC,2
2022-08-20,RSL,1,VAN,1
2022-08-20,SJE,2,LAFC,1
2022-08-20,COL,1,HOU,1
2022-08-20,MIN,2,ATX,1
2022-08-20,MIA,2,TOR,1
2022-08-20,MTL,4,NER,0
2022-08-20,DCU,0,PHI,6
2022-08-20,NYRB,1,CIN,1
2022-08-19,LAG,3,SEA,3
2022-08-17,VAN,2,COL,1
2022-08-17,FCD,1,PHI,0
2022-08-17,NYC,1,CLT,3
2022-08-17,TOR,2,NER,2
2022-08-17,ATL,1,NYRB,2
2022-08-16,LAFC,1,DCU,0
2022-08-14,SEA,1,RSL,2
2022-08-14,NSH,1,MIN,2
2022-08-13,LAFC,4,CLT,0
2022-08-13,LAG,5,VAN,2
2022-08-13,COL,1,CLB,1
2022-08-13,HOU,2,MTL,3
2022-08-13,ATX,4,SKC,3
2022-08-13,FCD,4,SJE,1
2022-08-13,MIA,3,NYC,2
2022-08-13,NER,1,DCU,0
2022-08-13,TOR,3,POR,1
2022-08-13,CIN,2,ATL,2
2022-08-13,PHI,4,CHI,1
2022-08-13,NYRB,0,ORL,1
2022-08-06,POR,1,FCD,0
2022-08-06,RSL,1,LAFC,4
2022-08-06,ATX,3,SJE,3
2022-08-06,COL,4,MIN,3
2022-08-06,SKC,4,LAG,2
2022-08-06,NSH,3,TOR,4
2022-08-06,MTL,2,MIA,2
2022-08-06,DCU,0,NYRB,0
2022-08-06,ORL,0,NER,3
2022-08-06,CIN,3,PHI,1
2022-08-06,CLB,3,NYC,1
2022-08-06,CLT,2,CHI,3
2022-08-06,ATL,2,SEA,1
2022-08-05,VAN,2,HOU,1
2022-08-03,POR,1,NSH,1
2022-08-03,SJE,0,MIA,1
2022-08-03,CLB,1,MTL,2
2022-08-03,CLT,2,DCU,0
2022-08-02,SEA,1,FCD,0
2022-08-02,NYRB,4,COL,5
2022-07-31,DCU,2,ORL,1
2022-07-30,SJE,2,RSL,2
2022-07-30,FCD,1,LAG,0
2022-07-30,SKC,0,ATX,2
2022-07-30,MIA,4,CIN,4
2022-07-30,NSH,1,VAN,1
2022-07-30,NER,0,TOR,0
2022-07-30,MTL,0,NYC,0
2022-07-30,PHI,6,HOU,0
2022-07-30,CHI,0,ATL,0
2022-07-30,MIN,4,POR,3
2022-07-29,LAFC,2,SEA,0
2022-07-24,LAG,2,ATL,0
2022-07-24,ATX,3,NYRB,4
2022-07-23,POR,2,SJE,1
2022-07-23,RSL,0,FCD,1
2022-07-23,VAN,1,CHI,3
2022-07-23,SEA,2,COL,1
2022-07-23,SKC,0,LAFC,2
2022-07-23,HOU,1,MIN,2
2022-07-23,DCU,1,MTL,2
2022-07-23,CIN,1,NSH,1
2022-07-23,CLB,0,NER,0
2022-07-23,ORL,0,PHI,1
2022-07-23,TOR,4,CLT,0
2022-07-23,NYC,2,MIA,0
2022-07-17,POR,1,VAN,1
2022-07-17,RSL,3,SKC,0
2022-07-17,SJE,1,HOU,2
2022-07-17,NSH,1,LAFC,2
2022-07-17,CLB,2,CIN,0
2022-07-17,NYRB,0,NYC,1
2022-07-17,ATL,1,ORL,1
2022-07-16,MIA,3,CLT,2
2022-07-16,COL,2,LAG,0
2022-07-16,FCD,1,ATX,1
2022-07-16,CHI,1,SEA,0
2022-07-16,MIN,2,DCU,0
2022-07-16,MTL,0,TOR,0
2022-07-16,PHI,2,NER,1
2022-07-13,LAG,2,SJE,3
2022-07-13,FCD,0,NYC,1
2022-07-13,COL,1,ORL,1
2022-07-13,NSH,1,SEA,0
2022-07-13,CHI,2,TOR,0
2022-07-13,DCU,2,CLB,2
2022-07-13,MIA,1,PHI,2
2022-07-13,MIN,0,SKC,1
2022-07-13,CIN,2,VAN,2
2022-07-13,ATL,2,RSL,1
2022-07-12,ATX,3,HOU,1
2022-07-09,ORL,0,MIA,0
2022-07-09,RSL,2,COL,2
2022-07-09,HOU,2,FCD,2
2022-07-09,CHI,2,CLB,3
2022-07-09,TOR,2,SJE,2
2022-07-09,MTL,1,SKC,2
2022-07-09,CIN,1,NYRB,1
2022-07-09,ATL,0,ATX,3
2022-07-09,CLT,4,NSH,1
2022-07-09,SEA,0,POR,3
2022-07-09,NYC,4,NER,2
2022-07-08,VAN,1,MIN,3
2022-07-08,LAFC,3,LAG,2
2022-07-08,PHI,7,DCU,0
2022-07-04,LAG,4,MTL,0
2022-07-04,COL,2,ATX,3
2022-07-04,FCD,1,MIA,1
2022-07-04,ORL,3,DCU,5
2022-07-03,SJE,2,CHI,1
2022-07-03,NSH,2,POR,2
2022-07-03,HOU,1,CLT,1
2022-07-03,MIN,3,RSL,2
2022-07-03,SKC,0,NYRB,1
2022-07-03,CLB,0,PHI,0
2022-07-03,NER,2,CIN,1
2022-07-03,NYC,2,ATL,2
2022-07-02,VAN,1,LAFC,0
2022-07-02,TOR,0,SEA,2
2022-06-30,NYRB,2,ATL,1
2022-06-30,CLT,0,ATX,1
2022-06-29,LAFC,3,FCD,1
2022-06-29,LAG,2,MIN,3
2022-06-29,POR,2,HOU,1
2022-06-29,SEA,1,MTL,2
2022-06-29,CHI,1,PHI,0
2022-06-29,CIN,4,NYC,4
2022-06-29,TOR,1,CLB,2
2022-06-26,VAN,0,NER,0
2022-06-26,PHI,2,NYC,1
2022-06-26,LAFC,2,NYRB,0
2022-06-25,POR,3,COL,0
2022-06-25,RSL,0,CLB,0
2022-06-25,ATX,2,FCD,2
2022-06-25,MIA,2,MIN,1
2022-06-25,HOU,2,CHI,0
2022-06-25,TOR,2,ATL,1
2022-06-25,MTL,2,CLT,1
2022-06-25,DCU,1,NSH,3
2022-06-25,SEA,3,SKC,0
2022-06-24,CIN,1,ORL,0
2022-06-19,NSH,1,SKC,2
2022-06-19,NYC,1,COL,1
2022-06-19,NER,2,MIN,1
2022-06-19,ATL,2,MIA,0
2022-06-18,RSL,2,SJE,0
2022-06-18,FCD,0,VAN,2
2022-06-18,CHI,1,DCU,0
2022-06-18,CLB,1,CLT,1
2022-06-18,MTL,0,ATX,1
2022-06-18,ORL,2,HOU,1
2022-06-18,PHI,1,CIN,1
2022-06-18,NYRB,2,TOR,0
2022-06-18,LAG,1,POR,1
2022-06-18,SEA,1,LAFC,1
2022-06-15,NER,1,ORL,1
2022-06-14,SEA,4,VAN,0
2022-06-12,SKC,1,NER,2
2022-06-11,NSH,0,SJE,0
2022-06-11,CLT,2,NYRB,0
2022-06-04,VAN,2,RSL,1
2022-05-29,SEA,2,CLT,1
2022-05-29,LAG,4,ATX,1
2022-05-28,RSL,3,HOU,0
2022-05-28,SKC,0,VAN,1
2022-05-28,COL,1,NSH,3
2022-05-28,MIA,2,POR,1
2022-05-28,MIN,0,NYC,1
2022-05-28,NER,1,PHI,1
2022-05-28,ORL,1,FCD,3
2022-05-28,MTL,4,CIN,3
2022-05-28,ATL,1,CLB,2
2022-05-28,NYRB,3,DCU,1
2022-05-28,TOR,3,CHI,2
2022-05-28,LAFC,3,SJE,2
2022-05-22,POR,0,PHI,2
2022-05-22,ATX,2,ORL,2
2022-05-22,COL,1,SEA,0
2022-05-22,LAG,0,HOU,3
2022-05-22,SJE,1,SKC,1
2022-05-22,FCD,1,MIN,2
2022-05-22,MIA,2,NYRB,0
2022-05-22,CLT,2,VAN,1
2022-05-22,NYC,1,CHI,0
2022-05-22,MTL,1,RSL,2
2022-05-21,NSH,2,ATL,2
2022-05-21,CIN,2,NER,3
2022-05-21,CLB,0,LAFC,2
2022-05-21,DCU,2,TOR,2
2022-05-18,SJE,3,POR,2
2022-05-18,LAFC,1,ATX,2
2022-05-18,VAN,2,FCD,1
2022-05-18,SKC,2,COL,1
2022-05-18,NSH,2,MTL,1
2022-05-18,HOU,0,SEA,1
2022-05-18,MIN,1,LAG,1
2022-05-18,PHI,0,MIA,0
2022-05-18,DCU,0,NYC,2
2022-05-18,NYRB,3,CHI,3
2022-05-15,SEA,3,MIN,1
2022-05-15,ATL,2,NER,2
2022-05-14,LAG,1,FCD,3
2022-05-14,POR,7,SKC,2
2022-05-14,RSL,2,ATX,1
2022-05-14,MIA,2,DCU,2
2022-05-14,HOU,2,NSH,0
2022-05-14,CHI,1,CIN,1
2022-05-14,PHI,1,NYRB,1
2022-05-14,NYC,2,CLB,0
2022-05-14,CLT,0,MTL,2
2022-05-14,VAN,3,SJE,3
2022-05-14,COL,2,LAFC,0
2022-05-14,TOR,0,ORL,1
2022-05-08,ATX,0,LAG,1
2022-05-08,NSH,2,RSL,0
2022-05-08,VAN,1,TOR,0
2022-05-07,LAFC,2,PHI,2
2022-05-07,SJE,1,COL,0
2022-05-07,FCD,2,SEA,0
2022-05-07,MIN,0,CIN,1
2022-05-07,NER,2,CLB,2
2022-05-07,DCU,2,HOU,0
2022-05-07,NYRB,1,POR,1
2022-05-07,NYC,0,SKC,0
2022-05-07,ATL,4,CHI,1
2022-05-07,MTL,4,ORL,1
2022-05-07,CLT,1,MIA,0
2022-05-04,CIN,2,TOR,0
2022-05-01,LAFC,2,MIN,0
2022-05-01,NSH,1,PHI,1
2022-05-01,NYC,3,SJE,0
2022-04-30,COL,2,POR,0
2022-04-30,SKC,2,FCD,2
2022-04-30,CHI,1,NYRB,2
2022-04-30,ORL,2,CLT,1
2022-04-30,NER,2,MIA,0
2022-04-30,CLB,3,DCU,0
2022-04-30,MTL,2,ATL,1
2022-04-30,RSL,1,LAG,0
2022-04-30,TOR,1,CIN,2
2022-04-30,HOU,1,ATX,2
2022-04-24,CIN,1,LAFC,2
2022-04-24,NYC,5,TOR,4
2022-04-24,ORL,0,NYRB,3
2022-04-24,MIA,2,ATL,1
2022-04-23,LAG,1,NSH,0
2022-04-23,SJE,4,SEA,3
2022-04-23,POR,0,RSL,0
2022-04-23,COL,0,CLT,0
2022-04-23,SKC,0,CLB,0
2022-04-23,ATX,3,VAN,0
2022-04-23,DCU,3,NER,2
2022-04-23,MIN,3,CHI,0
2022-04-23,PHI,1,MTL,1
2022-04-23,FCD,2,HOU,1
2022-04-17,LAFC,3,SKC,0
2022-04-17,NYC,6,RSL,0
2022-04-16,SEA,0,MIA,1
2022-04-16,DCU,2,ATX,3
2022-04-16,MIN,3,COL,1
2022-04-16,CHI,0,LAG,0
2022-04-16,NER,2,CLT,1
2022-04-16,CLB,0,ORL,2
2022-04-16,TOR,2,PHI,1
2022-04-16,NYRB,0,FCD,0
2022-04-16,ATL,0,CIN,0
2022-04-16,HOU,0,POR,0
2022-04-16,SJE,2,NSH,2
2022-04-16,MTL,2,VAN,1
2022-04-10,ATX,1,MIN,0
2022-04-10,CLT,1,ATL,0
2022-04-09,VAN,2,POR,3
2022-04-09,FCD,3,COL,1
2022-04-09,SKC,1,NSH,2
2022-04-09,HOU,4,SJE,3
2022-04-09,RSL,2,TOR,2
2022-04-09,LAG,2,LAFC,1
2022-04-09,PHI,0,CLB,0
2022-04-09,NYRB,1,MTL,2
2022-04-09,MIA,3,NER,2
2022-04-09,ORL,1,CHI,0
2022-04-03,POR,1,LAG,2
2022-04-02,MIA,1,HOU,3
2022-04-02,COL,1,RSL,1
2022-04-02,MIN,1,SEA,1
2022-04-02,VAN,1,SKC,0
2022-04-02,DCU,0,ATL,1
2022-04-02,SJE,2,ATX,2
2022-04-02,ORL,2,LAFC,4
2022-04-02,NER,0,NYRB,0
2022-04-02,PHI,2,CLT,0
2022-04-02,CLB,0,NSH,1
2022-04-02,CIN,2,MTL,4
2022-04-02,TOR,1,NYC,1
2022-04-02,CHI,0,FCD,0
2022-03-27,POR,1,ORL,1
2022-03-26,SKC,1,RSL,0
2022-03-26,CLT,2,CIN,0
2022-03-20,LAFC,3,VAN,1
2022-03-20,ATX,1,SEA,1
2022-03-20,NYRB,1,CLB,1
2022-03-19,RSL,2,NSH,1
2022-03-19,HOU,1,COL,1
2022-03-19,FCD,4,POR,1
2022-03-19,MIN,1,SJE,0
2022-03-19,CLT,3,NER,1
2022-03-19,CHI,3,SKC,1
2022-03-19,ATL,3,MTL,3
2022-03-19,LAG,0,ORL,1
2022-03-19,TOR,2,DCU,1
2022-03-19,NYC,0,PHI,2
2022-03-19,CIN,3,MIA,1
2022-03-13,NYRB,0,MIN,1
2022-03-13,ATL,2,CLT,1
2022-03-12,POR,1,ATX,0
2022-03-12,COL,2,SKC,0
2022-03-12,FCD,2,NSH,0
2022-03-12,NER,2,RSL,3
2022-03-12,ORL,1,CIN,2
2022-03-12,PHI,2,SJE,0
2022-03-12,DCU,0,CHI,2
2022-03-12,HOU,2,VAN,1
2022-03-12,SEA,3,LAG,2
2022-03-12,MIA,0,LAFC,2
2022-03-12,CLB,2,TOR,1
2022-03-12,NYC,4,MTL,1
2022-03-06,LAFC,1,POR,1
2022-03-06,ATX,5,MIA,1
2022-03-05,CLT,0,LAG,1
2022-03-05,MIN,1,NSH,1
2022-03-05,RSL,1,SEA,0
2022-03-05,VAN,0,NYC,0
2022-03-05,COL,3,ATL,0
2022-03-05,CIN,0,DCU,1
2022-03-05,CHI,0,ORL,0
2022-03-05,SJE,3,CLB,3
2022-03-05,MTL,1,PHI,2
2022-03-05,SKC,1,HOU,0
2022-03-05,TOR,1,NYRB,4
2022-03-05,NER,1,FCD,0
2022-02-27,SEA,0,NSH,1
2022-02-27,HOU,0,RSL,0
2022-02-27,LAG,1,NYC,0
2022-02-27,ATL,3,SKC,1
2022-02-27,ORL,2,MTL,0
2022-02-26,POR,2,NER,2
2022-02-26,SJE,1,NYRB,3
2022-02-26,ATX,4,CIN,0
2022-02-26,MIA,0,CHI,0
2022-02-26,DCU,3,CLT,0
2022-02-26,FCD,1,TOR,1
2022-02-26,LAFC,3,COL,0
2022-02-26,CLB,4,VAN,0
2022-02-26,PHI,1,MIN,1