Player_ID,Team,Player_NAME,SEASON,Position,Minutes,Shots,SoT,G
647,NER,A.J. DeLaGarza,2022,FB,314,0,0,0
202,RSL,Aaron Herrera,2022,FB,2497,15,3,0
205,NYRB,Aaron Long,2022,CB,2622,19,8,4
606,DCU,Abdoul Zanne,2022,ST,6,1,0,0
655,SEA,Abdoulaye Cissoko,2022,CB,457,1,1,0
281,MIN,Abu Danladi,2022,W,717,10,4,2
148,HOU,Adalberto Carrasquilla,2022,DM,2659,29,6,2
531,CLT,Adam Armour,2022,W,109,3,2,1
142,NER,Adam Buksa,2022,ST,888,34,15,7
305,HOU,Adam Lundkvist,2022,FB,2847,7,2,0
699,LAG,Adam Saldana,2022,CM,17,0,0,0
582,CLT,Adilson Malanda,2022,CB,595,3,0,0
524,VAN,Adrián Cubas,2022,CM,1462,11,3,1
513,MIN,Adrien Hunou,2022,ST,168,2,1,0
586,DCU,Adrien Pérez,2022,AM,151,1,1,0
509,MTL,Ahmed Hamdi,2022,AM,379,3,0,0
427,CLB,Aidan Morris,2022,DM,2008,13,1,0
357,ATL,Aiden McFadden,2022,FB,693,5,1,0
633,MIA,Aimé Mabika,2022,CB,1126,2,0,0
450,NSH,Aké Arnaud Loba,2022,ST,421,4,1,1
428,MIN,Alan Benítez,2022,FB,640,5,3,1
269,ATL,Alan Franco,2022,CB,2993,12,5,1
378,CLT,Alan Steven Franco,2022,W,849,8,1,0
77,FCD,Alan Velasco,2022,W,2064,57,18,6
166,SEA,Albert Rusnák,2022,DM,2825,42,10,3
96,PHI,Alejandro Bedoya,2022,CM,2677,36,13,6
25,TOR,Alejandro Pozuelo,2022,AM,2651,33,20,6
540,VAN,Alessandro Schöpf,2022,AM,368,2,0,0
503,ATL,Alex De John,2022,CB,462,8,1,0
532,CHI,Alex Monis,2022,W,5,1,1,1
145,NSH,Alex Muyl,2022,FB,2208,28,10,2
214,SEA,Alex Roldan,2022,FB,2851,9,3,1
153,NYC,Alexander Callens,2022,CB,2685,25,11,5
87,ATX,Alexander Ring,2022,DM,3066,41,15,4
93,ORL,Alexandre Pato,2022,ST,1339,40,13,3
485,CLB,Alexandru Matan,2022,W,58,3,1,0
339,NYC,Alfredo Morales,2022,DM,2141,16,1,0
613,VAN,Ali Ahmed,2022,FB,62,1,0,0
174,MTL,Alistair Johnston,2022,FB,2929,14,5,4
403,CIN,Allan Cruz,2022,CM,459,8,4,0
116,CIN,Álvaro Barreal,2022,FB,2406,48,24,5
253,CIN,Alvas Powell,2022,FB,2094,22,7,0
342,ATL,Amar Sejdic,2022,CM,1403,13,4,0
245,RSL,Anderson Julio,2022,ST,619,20,10,3
657,CHI,Andre Reynolds,2022,W,470,0,0,0
144,COL,Andre Shinyashiki,2022,W,1226,34,17,7
288,NYC,Andres Jasson,2022,FB,541,5,1,0
430,ORL,Andrés Perea,2022,DM,949,12,3,1
553,NYRB,Andrés Reyes,2022,CB,768,4,2,0
311,SKC,Andreu Fontàs,2022,CB,2672,13,3,2
167,RSL,Andrew Brody,2022,FB,3229,15,8,2
496,NER,Andrew Farrell,2022,CB,3028,4,0,0
120,ATL,Andrew Gutman,2022,FB,2162,31,14,4
444,DCU,Andy Najar,2022,FB,1816,8,2,0
421,NSH,Aníbal Godoy,2022,CM,1025,4,1,1
529,COL,Anthony Markanich,2022,FB,257,4,1,0
399,NYC,Anton Tinnerholm,2022,FB,661,5,1,0
589,CLT,Anton Walkes,2022,CB,2005,5,1,0
482,ORL,Antônio Carlos,2022,CB,1804,14,3,0
81,MIA,Ariel Lassiter,2022,W,1790,49,22,4
340,NER,Arnór Ingvi Traustason,2022,W,561,14,3,0
468,CIN,Arquimides Ordonez,2022,W,123,7,1,0
390,CLB,Artur,2022,DM,1813,23,4,0
348,NYRB,Ashley Fletcher,2022,ST,285,10,3,0
375,COL,Auston Trusty,2022,CB,1589,11,0,0
157,TOR,Ayo Akinola,2022,ST,1365,26,7,2
672,DCU,Azaad Liadi,2022,AM,14,0,0,0
472,MIN,Bakaye Dibassy,2022,CB,2468,8,2,1
113,CLT,Ben Bender,2022,CM,1792,25,8,3
705,NER,Ben Reveno,2022,W,6,0,0,0
290,SKC,Ben Sweat,2022,FB,1665,10,3,0
151,SJE,Benjamin Kikanovic,2022,W,1501,21,6,6
581,FCD,Benjamin Redzic,2022,DM,97,4,0,0
176,ORL,Benji Michel,2022,W,1676,25,8,1
639,FCD,Bernard Kamungo,2022,W,26,0,0,0
181,POR,Bill Tuiloma,2022,CB,2532,47,12,6
674,POR,Blake Bodily,2022,ST,30,0,0,0
161,RSL,Bobby Wood,2022,ST,1050,26,12,3
516,RSL,Bode Davis,2022,W,119,2,1,1
98,MIN,Bongokuhle Hlongwane,2022,W,1754,44,19,2
195,CHI,Boris Sekulic,2022,FB,3090,11,1,0
296,DCU,Brad Smith,2022,FB,1265,6,2,0
596,RSL,Braian Ojeda,2022,CM,395,3,0,0
660,PHI,Brandan Craig,2022,DM,6,0,0,0
102,NER,Brandon Bye,2022,FB,2806,34,9,2
223,FCD,Brandon Servania,2022,CM,1457,28,8,2
5,CIN,Brandon Vázquez,2022,ST,2969,82,40,18
276,CLT,Brandt Bronico,2022,DM,3097,22,8,1
619,MIA,Brek Shea,2022,FB,182,0,0,0
578,DCU,Brendan Hines-Ike,2022,CB,1884,4,1,0
16,CIN,Brenner,2022,ST,2236,77,34,18
373,MIN,Brent Kallman,2022,CB,1524,9,2,2
128,CHI,Brian Gutierrez,2022,W,1803,27,8,2
143,LAFC,Brian Rodríguez,2022,W,895,28,10,2
101,VAN,Brian White,2022,ST,1805,41,19,4
689,HOU,Brooklyn Raines,2022,CM,40,0,0,0
83,ATL,Brooks Lennon,2022,FB,2249,17,9,2
187,COL,Bryan Acosta,2022,DM,2084,12,1,0
556,RSL,Bryan Oviedo,2022,FB,396,3,2,0
172,MIA,Bryce Duke,2022,AM,1642,15,4,1
42,NSH,C.J. Sapong,2022,ST,2653,51,15,5
134,SJE,Cade Cowell,2022,W,1697,43,14,3
345,NYRB,Caden Clark,2022,W,577,7,2,1
626,VAN,Caio Alexandre,2022,CM,102,1,0,0
671,LAFC,Cal Jennings,2022,W,33,0,0,0
238,ATL,Caleb Wiley,2022,FB,1631,8,3,1
286,CIN,Calvin Harris,2022,FB,216,7,3,1
186,SKC,Cameron Duke,2022,CM,1361,12,2,0
231,NYRB,Cameron Harper,2022,FB,875,13,5,2
8,NER,Carles Gil,2022,AM,3181,69,25,7
27,HOU,Carlos Ferreira,2022,ST,2521,68,26,13
501,TOR,Carlos Salcedo,2022,CB,1316,3,1,0
322,CHI,Carlos Terán,2022,CB,1855,12,5,1
13,LAFC,Carlos Vela,2022,W,2528,61,26,12
395,ATX,Cecilio Domínguez,2022,W,300,9,3,2
413,ORL,César Araujo,2022,DM,2702,17,2,0
600,LAG,Chase Gasper,2022,FB,933,2,0,0
10,LAG,Chicharito,2022,ST,2811,88,38,18
572,PHI,Chris Donovan,2022,ST,150,1,1,0
165,DCU,Chris Durkin,2022,CM,2475,15,4,1
683,RSL,Chris Kablan,2022,W,33,0,0,0
679,TOR,Chris Mavinga,2022,CB,1690,0,0,0
71,CHI,Chris Mueller,2022,W,2132,48,19,4
510,DCU,Chris Odoi-Atsem,2022,FB,939,2,0,0
170,DCU,Christian Benteke,2022,ST,605,24,8,1
206,CLT,Christian Fuchs,2022,FB,2143,18,6,3
533,NER,Christian Makoun,2022,CB,1368,10,2,0
275,CLT,Christian Ortíz,2022,CM,703,12,3,1
665,RSL,Christopher Garcia,2022,W,9,0,0,0
446,NYC,Christopher Gloster,2022,FB,531,4,2,1
583,CLT,Christopher Hegardt,2022,CM,35,0,0,0
333,MIA,Christopher McVey,2022,FB,3357,10,4,1
268,POR,Claudio Bravo,2022,FB,2441,24,2,0
320,COL,Collen Warner,2022,DM,742,5,3,1
574,MIA,Corentin Jean,2022,W,91,2,0,0
141,HOU,Corey Baird,2022,W,1466,16,7,2
76,PHI,Cory Burke,2022,ST,1353,43,17,7
152,POR,Cristhian Paredes,2022,CM,1843,23,8,2
4,LAFC,Cristian Arango,2022,ST,2562,108,47,16
111,NYRB,Cristian Cásseres Jr,2022,CM,2446,43,13,2
126,VAN,Cristian Dájome,2022,FB,1966,38,12,2
17,SJE,Cristian Espinoza,2022,W,3054,73,25,7
411,VAN,Cristián Gutiérrez,2022,FB,691,3,0,0
95,SEA,Cristian Roldan,2022,W,2297,36,13,4
569,LAFC,Cristian Tello,2022,W,121,4,3,0
79,CLB,Cucho Hernández,2022,ST,1445,88,30,9
315,MIN,D.J. Taylor,2022,FB,2275,14,3,1
45,POR,Dairon Asprilla,2022,W,2052,50,17,10
368,NER,Damian Rivera,2022,W,474,7,3,1
270,MIA,Damion Lowe,2022,CB,2632,11,5,1
349,RSL,Damir Kreilach,2022,AM,331,9,4,1
497,LAG,Daniel Aguirre,2022,DM,438,4,2,1
680,LAFC,Daniel Crisostomo,2022,CM,40,0,0,0
477,NYRB,Daniel Edelman,2022,CM,1130,6,1,1
2,PHI,Daniel Gazdag,2022,AM,3216,61,42,22
199,NSH,Daniel Lovitz,2022,FB,2878,12,3,1
283,ATX,Daniel Pereira Gil,2022,DM,2270,20,8,2
80,CLT,Daniel Ríos,2022,ST,1558,38,14,7
56,SKC,Dániel Sallói,2022,W,2759,72,28,7
408,HOU,Daniel Steres,2022,CB,1500,7,3,2
575,LAFC,Daniel Trejo,2022,W,59,1,1,0
267,ATX,Danny Hoesen,2022,ST,467,14,6,3
452,SEA,Danny Leyva,2022,CM,1046,8,0,0
218,LAFC,Danny Musovski,2022,W,636,13,6,2
347,COL,Danny Wilson,2022,CB,2331,15,4,0
617,COL,Dantouma Toure,2022,W,70,1,1,1
462,POR,Dario Zuparic,2022,CB,2455,10,0,0
203,CLB,Darlington Nagbe,2022,DM,3358,13,5,3
456,COL,Darren Yapi,2022,ST,223,8,4,0
417,HOU,Darwin Cerén,2022,DM,1285,9,2,0
35,HOU,Darwin Quintero,2022,AM,1938,42,19,8
185,NSH,Dave Romney,2022,CB,2907,19,5,3
454,POR,David Ayala,2022,CM,852,11,3,0
173,NSH,Dax McCarty,2022,DM,1946,16,2,0
183,TOR,Deandre Kerr,2022,W,1435,22,6,3
226,MIA,DeAndre Yedlin,2022,FB,3299,5,0,0
193,VAN,Déiber Caicedo,2022,ST,1066,19,4,1
57,LAG,Dejan Joveljic,2022,ST,1194,34,22,11
169,NER,DeJuan Jones,2022,FB,2984,19,2,1
149,LAFC,Denis Bouanga,2022,W,556,26,8,1
61,CLB,Derrick Etienne,2022,W,2431,49,21,9
383,CLT,Derrick Jones,2022,DM,1053,7,1,1
319,LAG,Derrick Williams,2022,CB,2381,15,3,0
312,POR,Diego Chara,2022,DM,2706,4,0,0
47,ATX,Diego Fagundez,2022,W,2952,37,12,6
675,POR,Diego Gutiérrez,2022,ST,9,0,0,0
486,RSL,Diego Luna,2022,W,376,8,1,0
146,LAFC,Diego Palacios,2022,FB,2669,14,5,1
11,COL,Diego Rubio,2022,AM,2670,93,39,16
40,MTL,Djordje Mihailovic,2022,CM,2193,41,24,9
139,ATL,Dom Dwyer,2022,ST,729,21,7,4
352,TOR,Domenico Criscito,2022,FB,1300,17,4,1
155,CIN,Dominique Badji,2022,ST,1217,28,13,0
701,LAFC,Doneil Henry,2022,CB,326,0,0,0
455,DCU,Donovan Pines,2022,CB,1619,7,0,0
130,LAG,Douglas Costa,2022,W,1559,45,16,4
636,COL,Drew Moor,2022,CB,279,1,0,0
558,DCU,Drew Skundrich,2022,CM,998,5,0,0
293,NYRB,Dru Yearwood,2022,CM,1716,16,6,2
260,NER,Dylan Borrero,2022,W,660,19,6,3
364,NYRB,Dylan Nealis,2022,FB,2016,9,1,0
536,SEA,Dylan Teves,2022,W,121,1,1,1
704,VAN,Easton Ongaro,2022,ST,49,0,0,0
595,LAFC,Eddie Segura,2022,CB,921,3,1,0
566,MIA,Edison Azcona,2022,W,22,0,0,0
255,DCU,Edison Flores,2022,AM,908,15,2,1
494,FCD,Edwin Cerrillo,2022,DM,2114,7,1,0
391,ATL,Edwin Mosquera,2022,W,376,8,4,0
694,FCD,Edwin Munjoma,2022,FB,113,0,0,0
99,LAG,Efrain Álvarez,2022,W,1566,49,17,3
304,NYRB,Elias Manoel,2022,ST,384,10,6,2
318,FCD,Ema Twumasi,2022,FB,2343,10,2,0
18,MIN,Emanuel Reynoso,2022,AM,2718,77,28,10
470,ATL,Emerson Hyndman,2022,DM,333,2,2,0
192,MIA,Emerson Rodríguez,2022,W,642,14,9,2
644,VAN,Emiliano Brienza,2022,ST,8,1,0,0
422,ATX,Emiliano Rigoni,2022,W,311,3,1,0
168,NER,Emmanuel Boateng,2022,W,1112,14,6,2
44,ORL,Ercan Kara,2022,ST,1929,48,19,11
402,NSH,Eric Miller,2022,FB,1489,2,0,0
425,SJE,Eric Remedi,2022,DM,1556,11,4,0
560,VAN,Erik Godoy,2022,CB,496,2,1,1
512,RSL,Erik Holt,2022,CB,620,6,1,0
324,CLB,Erik Hurtado,2022,ST,499,12,6,3
204,SKC,Erik Thommy,2022,CM,948,38,18,3
632,LAG,Eriq Zavaleta,2022,CB,222,1,0,0
211,POR,Eryk Williamson,2022,DM,1284,6,1,0
637,NER,Esmir Bajraktarevic,2022,CM,141,0,0,0
576,HOU,Ethan Bartlow,2022,CB,1024,1,1,0
557,SEA,Ethan Dobbelaere,2022,FB,309,2,1,0
117,ATX,Ethan Finlay,2022,W,2006,23,8,5
453,NSH,Ethan Zubak,2022,ST,259,4,2,0
597,RSL,Everton Luiz,2022,CM,488,1,0,0
300,CHI,Fabian Herbers,2022,W,1209,21,6,1
354,FCD,Facundo Quignón,2022,DM,1435,11,3,1
64,ORL,Facundo Torres,2022,W,2798,53,14,9
51,HOU,Fafa Picault,2022,W,2604,58,23,7
74,TOR,Federico Bernardeschi,2022,W,1202,40,16,8
287,CHI,Federico Navarro,2022,DM,2708,21,4,2
271,ATX,Felipe,2022,DM,891,10,4,1
302,COL,Felipe Gutiérrez,2022,DM,887,10,3,0
135,SKC,Felipe Hernandez,2022,CM,1959,34,7,2
441,POR,Felipe Mora,2022,ST,119,3,2,1
677,VAN,Florian Jungwirth,2022,CB,938,0,0,0
327,SJE,Francisco Calvo,2022,CB,1286,15,5,2
551,LAFC,Francisco Ginella,2022,CM,528,5,0,0
379,LAFC,Franco Escobar,2022,FB,1264,5,2,1
65,MIN,Franco Fragapane,2022,W,2170,34,15,7
369,ATL,Franco Ibarra,2022,DM,1075,10,0,0
119,FCD,Franco Jara,2022,ST,1078,38,11,3
310,NYRB,Frankie Amaya,2022,CM,2169,15,7,1
103,SEA,Fredy Montero,2022,ST,1410,43,16,4
97,NYC,Gabriel Pereira,2022,W,1486,33,16,8
458,MTL,Gabriele Corbo,2022,CB,1268,4,0,0
562,DCU,Gaoussou Samake,2022,FB,131,0,0,0
232,LAFC,Gareth Bale,2022,W,425,17,7,2
252,LAG,Gastón Brugman,2022,CM,1220,15,7,3
262,CHI,Gastón Giménez,2022,DM,1852,29,11,0
608,NYC,Gedion Zelalem,2022,DM,230,1,1,0
398,CIN,Geoff Cameron,2022,CB,2294,8,2,0
654,MIA,George Acosta,2022,CM,12,1,1,0
384,ATL,George Campbell,2022,CB,1619,8,3,0
666,POR,George Fochive,2022,CM,40,0,0,0
250,NER,Giacomo Vrioni,2022,ST,279,10,4,1
483,LAFC,Giorgio Chiellini,2022,CB,787,3,0,0
24,MIA,Gonzalo Higuaín,2022,ST,1930,50,20,16
299,SKC,Graham Zusi,2022,FB,1815,13,4,2
303,MIA,Gregore,2022,DM,2986,17,5,0
341,HOU,Griffin Dorsey,2022,FB,1843,10,4,1
487,DCU,Griffin Yow,2022,AM,307,5,2,0
75,NER,Gustavo Bou,2022,ST,1740,73,31,8
607,COL,Gustavo Vallecilla,2022,CB,632,4,0,0
386,CLT,Guzmán Corujo,2022,CB,2271,13,4,1
19,CLB,Gyasi Zardes,2022,ST,2499,53,19,10
648,NSH,Handwalla Bwana,2022,W,18,0,0,0
1,NSH,Hany Mukhtar,2022,ST,3082,126,65,23
346,CIN,Haris Medunjanin,2022,CM,561,2,0,0
438,CLT,Harrison Afful,2022,FB,1437,12,2,0
591,CIN,Harrison Robledo,2022,CM,58,0,0,0
663,MIA,Harvey Neville,2022,FB,15,0,0,0
678,NYRB,Hassan Ndam,2022,CB,52,0,0,0
380,MIN,Hassani Dotson,2022,FB,685,3,1,1
109,NYC,Héber,2022,ST,1171,34,15,8
372,HOU,Héctor Herrera,2022,DM,773,11,2,0
361,ATX,Héctor Jiménez,2022,FB,664,3,0,0
479,NER,Henry Kessler,2022,CB,2017,10,2,1
669,TOR,Hugo Mbongue,2022,ST,22,0,0,0
528,CIN,Ian Murphy,2022,CB,1635,1,1,1
542,MTL,Ibrahim Sunusi,2022,AM,264,2,1,0
397,TOR,Ifunanyachi Achara,2022,W,457,6,5,0
256,LAFC,Ilie Sánchez,2022,DM,2956,16,4,1
239,MIA,Indiana Vassilev,2022,W,1183,19,12,2
573,CIN,Isaac Atanga,2022,FB,51,0,0,0
237,MTL,Ismael Koné,2022,CM,1750,24,6,2
493,LAFC,Ismael Tajouri-Shradi,2022,W,204,4,2,2
332,ORL,Iván Angulo,2022,W,603,14,5,0
429,CLB,Jacen Russel-Rowe,2022,ST,255,4,1,0
212,PHI,Jack Elliott,2022,CB,3167,24,6,2
688,ORL,Jack Lynn,2022,ST,25,0,0,0
376,NSH,Jack Maher,2022,CB,2063,5,2,2
294,PHI,Jack McGlynn,2022,CM,1145,19,6,1
323,COL,Jack Price,2022,CM,1211,1,0,0
489,SJE,Jack Skahan,2022,FB,132,1,1,1
571,ATL,Jackson Conway,2022,ST,52,3,0,0
280,DCU,Jackson Hopkins,2022,W,1009,8,1,0
416,SEA,Jackson Ragen,2022,CB,1544,6,2,0
236,SJE,Jackson Yueill,2022,DM,2924,20,6,4
242,TOR,Jacob Shaffelburg,2022,FB,1251,24,7,2
629,MIN,Jacori Hayes,2022,DM,105,1,0,0
137,FCD,Jáder Obrian,2022,W,1512,23,8,2
506,TOR,Jahkeele Marshall-Rutty,2022,FB,707,4,1,0
621,MIA,Jairo Quinteros,2022,CB,310,1,0,0
353,CHI,Jairo Torres,2022,W,770,18,6,0
706,SKC,Jake Davis,2022,CM,31,0,0,0
356,ATL,Jake Mulraney,2022,W,1031,14,2,1
502,VAN,Jake Nerwinski,2022,CB,1986,4,0,0
389,PHI,Jakob Glesnes,2022,CB,3394,20,3,0
640,CLB,Jalil Anibaba,2022,CB,252,1,0,0
316,CLB,James Igbekeme,2022,W,1021,14,2,0
70,SJE,Jamiro Monteiro,2022,AM,2847,36,15,4
246,SJE,Jan Gregus,2022,DM,1842,21,9,0
588,CLT,Jan Sobociński,2022,CB,436,1,0,0
670,ATX,Jared Stroud,2022,W,65,0,0,0
66,POR,Jaroslaw Niezgoda,2022,ST,2156,36,18,9
604,NYRB,Jason Pendant,2022,FB,100,1,0,0
330,RSL,Jasper Löeffelsend,2022,CM,1769,13,1,1
338,VAN,Javain Brown,2022,CB,2030,10,2,1
690,CHI,Javier Casas,2022,DM,64,0,0,0
518,SJE,Javier López,2022,CM,259,3,1,1
235,TOR,Jayden Nelson,2022,W,2120,29,9,1
358,CLT,Jaylin Lindsey,2022,FB,1848,5,3,0
624,RSL,Jaziel Orozco,2022,CB,345,3,1,0
138,MIA,Jean Mota,2022,DM,2882,52,11,2
78,RSL,Jefferson Savarino,2022,ST,1668,55,21,7
7,SJE,Jeremy Ebobisse,2022,ST,3174,103,46,17
686,PHI,Jesús Bueno,2022,CM,16,0,0,0
279,LAFC,Jesús David Murillo,2022,CB,2586,16,4,2
15,FCD,Jesús Ferreira,2022,ST,2913,82,43,18
38,TOR,Jesús Jiménez,2022,ST,2608,53,21,9
515,ORL,Jhegson Méndez,2022,DM,756,5,0,0
618,ATX,Jhohan Romaña,2022,CB,395,2,1,0
616,ATX,Jhojan Valencia,2022,DM,540,3,0,0
59,CHI,Jhon Durán,2022,ST,1534,60,24,8
440,CHI,Jhon Espinoza,2022,FB,592,4,0,0
394,SEA,Jimmy Medranda,2022,FB,753,15,4,0
220,ORL,João Moutinho,2022,FB,2712,18,4,2
511,SEA,João Paulo,2022,DM,489,6,1,1
125,MTL,Joaquín Torres,2022,AM,1464,26,11,3
200,MTL,Joel Waterman,2022,CB,2947,12,7,3
517,MIA,Joevin Jones,2022,FB,156,0,0,0
682,ORL,Joey Dezart,2022,FB,7,0,0,0
460,RSL,Johan Kappelhof,2022,CB,591,5,1,1
