Team,Season,Games,ShtF,ShtA,GF,GA,Pts
PHI,2022,34,450,434,70,26,67
LAFC,2022,34,532,376,65,36,67
MTL,2022,34,425,317,61,48,65
ATX,2022,34,424,442,64,48,56
NYC,2022,34,482,360,56,39,55
FCD,2022,34,402,427,46,37,53
NYRB,2022,34,451,303,48,41,53
NSH,2022,34,446,438,52,41,50
LAG,2022,34,475,393,57,51,50
CIN,2022,34,438,458,60,55,49
MIN,2022,34,421,473,46,47,48
MIA,2022,34,379,470,46,55,48
ORL,2022,34,408,410,42,52,48
RSL,2022,34,436,410,43,45,47
CLB,2022,34,447,388,46,39,46
POR,2022,34,440,504,52,51,46
COL,2022,34,448,452,46,57,43
VAN,2022,34,387,476,40,57,43
NER,2022,34,437,481,47,48,42
CLT,2022,34,384,445,42,51,42
SEA,2022,34,420,447,44,46,41
ATL,2022,34,540,427,48,54,40
SKC,2022,34,415,389,40,53,40
CHI,2022,34,429,409,39,47,39
HOU,2022,34,390,501,43,54,36
SJE,2022,34,455,481,52,69,35
TOR,2022,34,372,492,48,64,34
DCU,2022,34,357,487,36,68,27